prices_per_night,ratings,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,log_num_reviews,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
23.0,4.23,0.0,1.0,1.0,0.5,1.0,900.0,600.0,9.0,5.905361848054571,1.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0
76.0,4.73,0.0,1.0,2.0,1.0,2.0,840.0,660.0,10.0,6.198478716492308,1.0,5.0,2.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0
36.0,4.62,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,4.624972813284271,0.0,5.0,2.0,1.0,10.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
42.0,0.0,0.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
36.0,4.41,0.0,1.0,1.0,0.5,1.0,960.0,780.0,8.0,4.762173934797756,0.0,7.0,2.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
116.0,0.0,95.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,1.0986122886681098,0.0,5.0,2.0,0.0,12.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,4.86,10.0,1.0,1.0,0.5,1.0,900.0,660.0,9.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
79.0,4.72,35.0,1.0,2.0,1.0,2.0,960.0,600.0,8.0,5.1647859739235145,1.0,3.0,2.0,0.0,7.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
45.0,4.66,20.0,1.0,1.0,0.5,2.0,840.0,660.0,10.0,3.871201010907891,0.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,1.0,0.0
50.0,4.91,10.0,1.0,1.0,0.5,2.0,960.0,720.0,8.0,0.0,0.0,6.0,1.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0
276.0,0.0,170.0,2.0,3.0,1.0,4.0,900.0,660.0,9.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0
67.0,4.9,0.0,1.0,2.0,0.5,2.0,780.0,660.0,11.0,0.0,3.0,3.0,3.0,3.0,19.0,8.0,5.0,5.0,2.0,2.0,5.0,0.0,7.0,1.0,0.0
52.0,4.76,0.0,1.0,1.0,1.0,1.0,840.0,660.0,10.0,5.648974238161206,1.0,4.0,2.0,1.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0
50.0,4.33,20.0,1.0,1.0,0.5,2.0,840.0,720.0,10.0,2.5649493574615367,1.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0
170.0,4.8,0.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,7.234898420314831,1.0,2.0,2.0,0.0,7.0,5.0,1.0,0.0,2.0,0.0,0.0,5.0,3.0,1.0,0.0
